---
recorded_at: 2026-04-12T18:53:50.029824776-07:00
mode: manual
files: [".keel/stories/VGcvOsBRp/EVIDENCE/ac-4.log"]
---

--- File: ac-4.log ---
    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.23s
     Running unittests src/lib.rs (/home/alex/.cache/cargo-target/paddles/debug/deps/paddles-07b921ab41e037e0)

running 588 tests
test application::tests::action_bias_targets_code_files_before_docs ... ok
test application::tests::action_bias_targets_ignore_non_authored_workspace_paths ... ok
test application::tests::action_bias_rejects_repeated_list_files_in_edit_turn ... ok
test application::tests::action_bias_redirects_non_file_actions_before_any_search_step ... ok
test application::tests::answer_initial_actions_route_to_direct_responses ... ok
test application::tests::action_bias_falls_back_to_prompt_derived_file_candidates ... ok
test application::tests::action_bias_escalates_to_exact_diff_after_target_file_has_been_read ... ok
test application::tests::context1_boundary_can_be_prepared_without_local_model_paths ... ok
test application::tests::action_bias_targets_ignore_gitignored_workspace_paths ... ok
test application::tests::compaction_engine_executes_plan_and_preserves_locators ... ok
test application::tests::external_capability_enrichment_adds_discovery_hints_and_grounding_procedure ... ok
test application::tests::execution_pressure_prefers_resolved_targets_over_repeated_search ... ok
test application::tests::explicit_workspace_initial_actions_route_to_the_planner_loop ... ok
test application::tests::known_edit_planner_budget_preserves_workspace_editor_headroom ... ok
test application::tests::local_harness_enrichment_adds_general_github_hint_and_ci_procedure_when_available ... ok
test application::tests::local_harness_enrichment_adds_tool_preferences_and_workspace_procedure ... ok
test application::tests::local_harness_enrichment_no_longer_uses_prompt_intent_to_gate_github_hints ... ok
test application::tests::plain_turn_event_rendering_uses_hunting_language_for_gatherer_progress ... ok
test application::tests::planner_can_carry_resolver_outcomes_from_edit_signal_into_instruction_frame ... ok
test application::tests::premise_challenge_fallback_reason_keeps_noop_review_readable ... ok
test application::tests::premise_challenge_stops_redundant_ci_probe_after_non_failing_run_evidence ... ok
test application::tests::premise_challenge_stops_redundant_plain_ci_run_list_probe ... ok
test application::tests::prepared_runtime_lanes_keep_synthesizer_as_default_response_lane ... ok
test application::tests::finalize_turn_response_records_shared_completion_side_effects ... ok
test application::tests::known_edit_bootstrap_discards_gitignored_generated_artifacts ... ok
test application::tests::execute_planner_gather_step_reuses_request_and_merge_path ... ok
test application::tests::prepare_runtime_lanes_treats_inception_as_remote_http_lane_without_local_paths ... ok
test application::tests::execute_planner_gather_step_refuses_warming_retrieval_without_invoking_gatherer ... ok
test application::tests::prepare_runtime_lanes_mix_provider_selection_and_only_resolve_sift_paths ... ok
test application::tests::prepare_runtime_lanes_downgrades_harness_profile_when_prompt_envelopes_are_required ... ok
test application::tests::prepare_runtime_lanes_resolves_structured_harness_profile_without_downgrade ... ok
test application::tests::known_edit_bootstrap_discards_node_modules_hints_and_prefers_authored_files ... ok
test application::tests::recent_turn_summaries_prefer_session_context_slice_before_history_or_synth_fallback ... ok
test application::tests::known_edit_bootstrap_uses_deterministic_resolution ... ok
test application::tests::repository_grounding_heuristic_flags_our_generative_layer_followup ... ok
test application::tests::replay_conversation_forensics_projects_superseded_and_final_records ... ok
test application::tests::replay_conversation_transcript_returns_empty_for_known_session_without_trace_records ... ok
test application::tests::resource_initial_actions_route_to_the_planner_loop ... ok
test application::tests::runtime_lane_config_defaults_to_synthesizer_responses ... ok
test application::tests::service_new_exposes_default_execution_hand_diagnostics_surface ... ok
